store;websites;sku;qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;use_config_min_sale_qty;use_config_max_sale_qty;is_in_stock;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;stock_status_changed_auto;use_config_qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;stock_status_changed_automatically;use_config_enable_qty_increments
admin;base,placas;RFQ10408;2400;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;99668;2289;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10054;2274;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ07557;2237;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;9125;2204;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;9845;2203;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ05751;2200;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09948;2145;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11099;2133;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;C0896;2100;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;26945;2084;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11560;2048;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;2106;2037;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;C2192;2000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ05144;2000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ07545;2000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10412;2000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10497;2000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10499;2000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10500;2000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
